scenario,iteration,latency_ms
"raft/3-node (f=1, CFT)",76,0.8933
"raft/3-node (f=1, CFT)",77,0.8270
"raft/3-node (f=1, CFT)",78,1.0175
"raft/3-node (f=1, CFT)",79,0.8047
"raft/3-node (f=1, CFT)",80,1.8748
"raft/3-node (f=1, CFT)",81,1.1715
"raft/3-node (f=1, CFT)",82,0.9043
"raft/3-node (f=1, CFT)",83,0.8813
"raft/3-node (f=1, CFT)",84,0.7673
"raft/3-node (f=1, CFT)",85,0.9670
"raft/3-node (f=1, CFT)",86,0.8744
"raft/3-node (f=1, CFT)",87,0.8950
"raft/3-node (f=1, CFT)",88,1.1431
"raft/3-node (f=1, CFT)",89,1.4128
"raft/3-node (f=1, CFT)",90,0.9654
"raft/3-node (f=1, CFT)",91,1.1719
"raft/3-node (f=1, CFT)",92,0.9326
"raft/3-node (f=1, CFT)",93,1.0462
"raft/3-node (f=1, CFT)",94,1.1925
"raft/3-node (f=1, CFT)",95,1.1887
"raft/3-node (f=1, CFT)",96,1.1326
"raft/3-node (f=1, CFT)",97,0.8879
"raft/3-node (f=1, CFT)",98,1.8447
"raft/3-node (f=1, CFT)",99,0.9279
"raft/3-node (f=1, CFT)",100,0.8163
"raft/3-node (f=1, CFT)",101,0.9512
"raft/3-node (f=1, CFT)",102,0.8178
"raft/3-node (f=1, CFT)",103,0.9621
"raft/3-node (f=1, CFT)",104,1.1782
"raft/3-node (f=1, CFT)",105,0.9793
"raft/3-node (f=1, CFT)",106,1.2143
"raft/3-node (f=1, CFT)",107,1.1142
"raft/3-node (f=1, CFT)",108,0.9421
"raft/3-node (f=1, CFT)",109,0.9177
"raft/3-node (f=1, CFT)",110,0.8288
"raft/3-node (f=1, CFT)",111,0.8711
"raft/3-node (f=1, CFT)",112,0.7690
"raft/3-node (f=1, CFT)",113,0.9093
"raft/3-node (f=1, CFT)",114,1.0281
"raft/3-node (f=1, CFT)",115,0.9587
"raft/3-node (f=1, CFT)",116,0.8747
"raft/3-node (f=1, CFT)",117,1.3831
"raft/3-node (f=1, CFT)",118,1.3686
"raft/3-node (f=1, CFT)",119,1.0212
"raft/3-node (f=1, CFT)",120,0.8607
"raft/3-node (f=1, CFT)",121,1.0980
"raft/3-node (f=1, CFT)",122,1.1214
"raft/3-node (f=1, CFT)",123,0.9810
"raft/3-node (f=1, CFT)",124,0.9611
"raft/3-node (f=1, CFT)",125,0.8410
"raft/3-node (f=1, CFT)",126,1.1138
"raft/3-node (f=1, CFT)",127,0.9082
"raft/3-node (f=1, CFT)",128,1.0648
"raft/3-node (f=1, CFT)",129,0.9865
"raft/3-node (f=1, CFT)",130,0.9570
"raft/3-node (f=1, CFT)",131,0.9995
"raft/3-node (f=1, CFT)",132,0.9212
"raft/3-node (f=1, CFT)",133,0.9575
"raft/3-node (f=1, CFT)",134,0.9704
"raft/3-node (f=1, CFT)",135,1.0626
"raft/3-node (f=1, CFT)",136,1.0930
"raft/3-node (f=1, CFT)",137,1.2343
"raft/3-node (f=1, CFT)",138,0.9985
"raft/3-node (f=1, CFT)",139,1.6469
"raft/3-node (f=1, CFT)",140,1.2957
"raft/3-node (f=1, CFT)",141,0.9017
"raft/3-node (f=1, CFT)",142,0.9362
"raft/3-node (f=1, CFT)",143,2.2707
"raft/3-node (f=1, CFT)",144,0.8602
"raft/3-node (f=1, CFT)",145,1.1716
"raft/3-node (f=1, CFT)",146,1.0131
"raft/3-node (f=1, CFT)",147,1.0234
"raft/3-node (f=1, CFT)",148,1.0392
